,0,1,2,3,4,5,6,7,8,9,10,11,12,y
59,42,60,24,49,33,36,30,42,20,80,2,27,78,0.676982525089066
60,42,16,42,72,97,36,44,78,20,21,59,27,4,0.8317976900893715
61,42,16,24,49,97,37,30,78,66,80,59,65,4,0.5658151214916638
62,42,16,24,49,33,37,30,78,66,80,59,27,4,0.5835730540338594
63,42,60,42,72,33,37,30,78,66,21,59,27,4,0.4025417541942242
64,42,16,24,72,97,37,30,78,20,80,59,27,78,0.5379331072234118
65,42,60,24,72,33,37,30,78,20,21,59,65,4,0.7463913102001559
66,42,60,24,72,97,37,44,78,66,80,59,27,4,0.6799965648425357
67,42,60,42,72,97,37,44,42,66,80,59,27,4,0.775552788439766
68,42,60,24,49,33,37,30,78,20,80,2,65,4,0.5498346997824202
69,42,60,24,49,33,37,30,78,20,80,59,65,4,0.36019063119078126
70,42,60,24,49,33,36,30,78,66,80,59,65,78,0.3793396591083643
71,42,60,42,49,97,37,44,78,20,80,59,65,4,0.6275814689123688
72,42,60,24,72,97,37,44,78,66,80,2,27,78,0.4313254045301263
73,42,60,42,49,97,37,44,78,66,80,2,27,78,0.49404490994356787
74,42,60,24,72,97,37,30,78,20,80,59,65,4,0.5849555618553905
75,42,60,24,72,97,36,44,78,66,80,59,27,4,0.587840797135949
76,42,60,42,72,97,37,30,78,66,80,59,65,4,0.6436391738490475
77,42,60,24,49,33,36,44,78,20,80,2,65,78,0.6090077710838143
78,42,60,42,49,97,37,44,78,66,80,2,65,78,0.41054484536021524
79,42,60,24,49,33,36,30,78,66,80,59,65,4,0.3605598728998535
80,42,60,24,72,97,37,30,78,66,80,59,65,78,0.6999871193488258
81,42,60,42,49,33,37,30,78,20,80,2,65,78,0.4478382205979479
82,42,60,42,72,97,37,44,78,66,80,59,65,4,0.676982525089066
83,42,60,42,49,97,37,44,78,66,80,59,65,4,0.6410716583524746
84,42,60,42,49,33,36,44,78,66,80,59,65,78,0.6505001930704476
85,42,60,24,49,33,37,44,78,20,80,59,65,4,0.6072646084274568
86,42,60,24,49,97,37,44,78,20,80,59,27,4,0.6332488942640917
87,42,60,24,72,33,37,44,78,66,80,59,65,4,0.5837362073629752
88,42,60,24,49,33,37,30,78,66,80,2,27,4,0.4917521791801404
89,42,60,24,72,97,37,44,78,20,80,2,65,78,0.5848439311309714
90,42,60,24,49,97,37,44,78,66,80,59,65,78,0.5939805073673071
91,42,16,24,49,97,37,44,78,20,80,59,27,78,0.664831909099261
92,42,60,24,72,97,37,30,78,20,80,59,65,4,0.9492078484479153
93,42,60,24,49,33,36,44,78,66,80,59,27,4,0.8717959728504443
94,42,60,42,49,97,37,30,78,66,80,59,27,4,0.9477824055755434
95,42,60,24,49,33,37,30,42,66,80,2,65,4,0.7504701386707814
96,42,60,42,49,97,36,44,42,66,80,59,65,4,0.7584131210374394
97,42,60,24,72,97,37,30,42,66,21,59,65,4,0.7932506115030187
98,42,60,24,72,97,37,30,42,20,80,59,27,78,0.6104074533334478
99,42,60,24,72,33,37,30,42,66,80,59,27,78,0.6122107247891379
100,42,60,24,49,33,36,30,42,66,80,59,65,78,0.8605813404252738
101,42,60,24,49,33,36,44,78,20,80,59,65,78,0.8353870592522594
102,42,60,24,72,97,37,30,78,20,80,59,65,4,0.7927010433959488
103,42,16,24,49,33,37,30,78,20,80,59,65,78,0.5685028552665119
104,42,60,24,49,97,37,30,42,20,80,2,65,4,0.9399939889841448
105,42,60,24,72,33,37,30,78,66,80,2,65,4,0.7988836886781475
106,42,60,24,49,97,37,30,78,20,80,59,65,4,0.8161607487868517
107,42,60,24,49,97,37,30,78,20,21,59,27,78,0.8219913274676905
108,23,16,24,72,33,36,44,78,20,80,59,65,4,0.5086428231516701
109,23,60,24,49,97,37,44,78,20,21,2,27,78,0.6244643853087259
110,23,16,24,49,33,37,44,78,66,80,2,65,78,0.3711648277390114
111,42,60,24,49,97,36,44,78,20,80,59,27,78,0.8325791078787464
112,42,60,24,49,97,37,44,78,66,80,59,65,4,0.8078828728877155
113,42,60,24,49,97,36,30,78,66,80,59,65,4,1.0
114,42,60,24,72,97,37,30,78,66,80,2,27,78,0.7328324244068612
