,0,1,2,3,4,5,6,7,8,9,10,11,12
278,23,16,42,72,97,36,44,78,20,80,2,27,78
279,42,60,42,72,97,36,44,78,20,80,2,27,78
280,23,60,42,72,97,36,44,78,20,80,2,27,78
281,42,16,24,49,97,36,44,78,20,80,2,27,78
282,23,16,24,49,97,36,44,78,20,80,2,27,78
283,42,60,24,49,97,36,44,78,20,80,2,27,78
284,23,60,24,49,97,36,44,78,20,80,2,27,78
285,42,16,42,49,97,36,44,78,20,80,2,27,78
286,23,16,42,49,97,36,44,78,20,80,2,27,78
287,42,60,42,49,97,36,44,78,20,80,2,27,78
288,23,60,42,49,97,36,44,78,20,80,2,27,78
289,42,16,24,72,33,36,44,78,20,80,2,27,78
290,23,16,24,72,33,36,44,78,20,80,2,27,78
291,42,60,24,72,33,36,44,78,20,80,2,27,78
292,23,60,24,72,33,36,44,78,20,80,2,27,78
293,42,16,42,72,33,36,44,78,20,80,2,27,78
294,23,16,42,72,33,36,44,78,20,80,2,27,78
295,42,60,42,72,33,36,44,78,20,80,2,27,78
296,23,60,42,72,33,36,44,78,20,80,2,27,78
297,42,16,24,49,33,36,44,78,20,80,2,27,78
298,23,16,24,49,33,36,44,78,20,80,2,27,78
299,42,60,24,49,33,36,44,78,20,80,2,27,78
300,23,60,24,49,33,36,44,78,20,80,2,27,78
301,42,16,42,49,33,36,44,78,20,80,2,27,78
302,23,16,42,49,33,36,44,78,20,80,2,27,78
303,42,60,42,49,33,36,44,78,20,80,2,27,78
304,23,60,42,49,33,36,44,78,20,80,2,27,78
305,42,16,24,72,97,37,30,78,20,80,2,27,78
306,23,16,24,72,97,37,30,78,20,80,2,27,78
307,23,60,24,72,97,37,30,78,20,80,2,27,78
308,42,16,42,72,97,37,30,78,20,80,2,27,78
309,23,16,42,72,97,37,30,78,20,80,2,27,78
310,42,60,42,72,97,37,30,78,20,80,2,27,78
311,23,60,42,72,97,37,30,78,20,80,2,27,78
312,42,16,24,49,97,37,30,78,20,80,2,27,78
313,23,16,24,49,97,37,30,78,20,80,2,27,78
314,42,60,24,49,97,37,30,78,20,80,2,27,78
315,23,60,24,49,97,37,30,78,20,80,2,27,78
316,42,16,42,49,97,37,30,78,20,80,2,27,78
317,42,60,42,49,97,37,30,78,20,80,2,27,78
318,23,60,42,49,97,37,30,78,20,80,2,27,78
319,42,16,24,72,33,37,30,78,20,80,2,27,78
320,23,16,24,72,33,37,30,78,20,80,2,27,78
321,42,60,24,72,33,37,30,78,20,80,2,27,78
322,23,60,24,72,33,37,30,78,20,80,2,27,78
323,42,16,42,72,33,37,30,78,20,80,2,27,78
324,23,16,42,72,33,37,30,78,20,80,2,27,78
325,23,60,42,72,33,37,30,78,20,80,2,27,78
326,42,16,24,49,33,37,30,78,20,80,2,27,78
327,23,16,24,49,33,37,30,78,20,80,2,27,78
328,42,60,24,49,33,37,30,78,20,80,2,27,78
329,23,60,24,49,33,37,30,78,20,80,2,27,78
330,42,16,42,49,33,37,30,78,20,80,2,27,78
331,23,16,42,49,33,37,30,78,20,80,2,27,78
332,42,60,42,49,33,37,30,78,20,80,2,27,78
333,23,60,42,49,33,37,30,78,20,80,2,27,78
334,42,16,24,72,97,36,30,78,20,80,2,27,78
335,42,60,24,72,97,36,30,78,20,80,2,27,78
336,23,60,24,72,97,36,30,78,20,80,2,27,78
337,42,16,42,72,97,36,30,78,20,80,2,27,78
338,23,16,42,72,97,36,30,78,20,80,2,27,78
339,42,60,42,72,97,36,30,78,20,80,2,27,78
340,23,60,42,72,97,36,30,78,20,80,2,27,78
341,42,16,24,49,97,36,30,78,20,80,2,27,78
342,23,16,24,49,97,36,30,78,20,80,2,27,78
343,42,60,24,49,97,36,30,78,20,80,2,27,78
344,23,60,24,49,97,36,30,78,20,80,2,27,78
345,42,16,42,49,97,36,30,78,20,80,2,27,78
346,23,16,42,49,97,36,30,78,20,80,2,27,78
