,0,1,2,3,4,5,6,7,8,9,10,11,12,y_score_0.61,y_score_0.58,y_score_0.55,gbr,svr,rf,cnn,lstm
86,1,0,0,0,0,1,1,0,0,0,0,0,0,-0.0612917,0.00635251,-0.062021,0.505696,0.502101,0.485205,0.567115,0.539923
87,0,1,0,0,0,1,1,0,0,0,0,0,0,-0.0373551,0.022154,-0.0330883,0.600931,0.520494,0.573625,0.592888,0.555854
88,1,1,0,0,0,1,1,0,0,0,0,0,0,-0.0426822,0.0146097,-0.0467693,0.591434,0.51214,0.573625,0.592888,0.546144
89,0,0,1,0,0,1,1,0,0,0,0,0,0,-0.0547376,0.0149905,-0.0453633,0.515193,0.516288,0.485205,0.530939,0.569751
90,1,0,1,0,0,1,1,0,0,0,0,0,0,-0.0611168,0.00733245,-0.0575083,0.505696,0.507746,0.485205,0.528605,0.558407
91,0,1,1,0,0,1,1,0,0,0,0,0,0,-0.0383047,0.0206855,-0.0313555,0.581741,0.51528,0.548897,0.556843,0.575155
92,1,1,1,0,0,1,1,0,0,0,0,0,0,-0.043492,0.0140559,-0.0446815,0.572244,0.512549,0.548897,0.556843,0.56476
93,0,0,0,1,0,1,1,0,0,0,0,0,0,-0.051766,0.0169932,-0.0463007,0.515193,0.519421,0.485205,0.555102,0.560378
94,1,0,0,1,0,1,1,0,0,0,0,0,0,-0.0584817,0.00826374,-0.0582329,0.505696,0.511637,0.485205,0.552819,0.548707
95,1,1,0,1,0,1,1,0,0,0,0,0,0,-0.0394016,0.0167947,-0.0426804,0.591434,0.514645,0.573625,0.57952,0.556038
96,0,0,1,1,0,1,1,0,0,0,0,0,0,-0.0523399,0.0159327,-0.043164,0.515193,0.516018,0.485205,0.53456,0.578137
97,1,0,1,1,0,1,1,0,0,0,0,0,0,-0.0587193,0.00832312,-0.0553091,0.505696,0.512971,0.485205,0.53456,0.568791
98,0,1,1,1,0,1,1,0,0,0,0,0,0,-0.0358082,0.0215306,-0.0277777,0.581741,0.514841,0.548897,0.540249,0.5845
99,1,1,1,1,0,1,1,0,0,0,0,0,0,-0.0409956,0.0149419,-0.0411038,0.572244,0.514234,0.548897,0.540249,0.575348
100,0,0,0,0,1,1,1,0,0,0,0,0,0,-0.0533763,0.0147737,-0.0525445,0.515193,0.50178,0.475463,0.586813,0.536852
101,1,0,0,0,1,1,1,0,0,0,0,0,0,-0.0600919,0.00603087,-0.0644765,0.505696,0.504937,0.475463,0.569439,0.528446
102,0,1,0,0,1,1,1,0,0,0,0,0,0,-0.0361551,0.0218032,-0.0355441,0.600931,0.511946,0.573625,0.608197,0.544757
103,1,1,0,0,1,1,1,0,0,0,0,0,0,-0.0414823,0.0142739,-0.0492249,0.591434,0.512189,0.573625,0.606957,0.536887
104,0,0,1,0,1,1,1,0,0,0,0,0,0,-0.0534246,0.0141638,-0.0479868,0.515193,0.509672,0.475463,0.552143,0.5574
105,1,0,1,0,1,1,1,0,0,0,0,0,0,-0.059804,0.00652172,-0.0601317,0.505696,0.510272,0.475463,0.549952,0.546931
